1, 08400
2, 04823
3, 04849
4, 04543
5, 04386
6, 04268
7, 04254
8, 04301
1, 09058
2, 05044
3, 04595
4, 04576
5, 04200
6, 04322
7, 04315
8, 04196
1, 08911
2, 04970
3, 05204
4, 04458
5, 04121
6, 04382
7, 04214
8, 04194
1, 08303
2, 04778
3, 04610
4, 04974
5, 04157
6, 04108
7, 04100
8, 04205
1, 08804
2, 05982
3, 04712
4, 04495
5, 04224
6, 04722
7, 04207
8, 04266
1, 08713
2, 04896
3, 05242
4, 04509
5, 04302
6, 04260
7, 04288
8, 04297
1, 08471
2, 04985
3, 04601
4, 04509
5, 04298
6, 05346
7, 00068
8, 04227
1, 08793
2, 05174
3, 04846
4, 04665
5, 04322
6, 04216
7, 04360
8, 04335
1, 09862
2, 05696
3, 05794
4, 04933
5, 04700
6, 04466
7, 04407
8, 04234
1, 08295
2, 04982
3, 04696
4, 04547
5, 04171
6, 04933
7, 04358
8, 04352
1, 08702
2, 05105
3, 05008
4, 04585
5, 04311
6, 04392
7, 04305
8, 05345
1, 08888
2, 05100
3, 04848
4, 04118
5, 04444
6, 04390
7, 04159
8, 05105
