1, 08846
2, 05201
3, 04858
4, 04512
5, 05242
6, 04450
7, 04387
8, 04379
1, 09527
2, 05111
3, 04866
4, 04583
5, 04407
6, 04343
7, 05875
8, 04310
1, 08927
2, 05140
3, 04860
4, 05418
5, 04402
6, 04304
7, 04491
8, 04965
1, 08995
2, 05418
3, 05344
4, 05021
5, 04457
6, 04506
7, 04981
8, 04467
1, 08848
2, 05290
3, 05546
4, 04966
5, 04478
6, 04595
7, 04500
8, 04416
1, 08858
2, 05369
3, 05034
4, 04785
5, 04504
6, 04669
7, 04830
8, 04370
1, 09027
2, 05320
3, 05055
4, 04967
5, 04489
6, 04497
7, 04506
8, 04403
1, 08900
2, 05235
3, 04962
4, 04570
5, 04517
6, 04570
7, 04488
8, 05085
1, 09088
2, 05319
3, 05189
4, 04791
5, 04539
6, 04605
7, 04577
8, 04617
1, 09331
2, 05829
3, 05327
4, 04950
5, 05429
6, 04640
7, 04533
8, 04593
